title,price,tikinow,freeship,reviews,product_id,link,rating_value,image url,badge under price,discount percentage,installment,free gifts,dis_percentage
AdMáy Đọc Sách Kindle Gen 10 (2019) - Hàng Nhập Khẩu - Màu Trắng,2390000,No,No,1,1660660907089,https://tiki.vn/may-doc-sach-kindle-gen-10-2019-hang-nhap-khau-mau-trang-p44106461.html?spid=48944235&src=ss-ads,0,https://salt.tikicdn.com/cache/280x280/ts/product/a1/da/9e/0adff804db5682c8f59067ca469f678c.jpg,No,,No,No,23
Máy đọc sách Kindle PaperWhite Gen 4 (10th) - Bản 8GB - Hàng chính hãng,2930000,Yes,No,492,6531566843953,https://tiki.vn/may-doc-sach-kindle-paperwhite-gen-4-10th-ban-8gb-2019-hang-chinh-hang-p6597807.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/dc/39/ea/c1babbb53d968c38b0e5a528ea9548af.jpg,Yes,,No,No,27
Điện Thoại iPhone 12 128GB - Hàng Chính Hãng,22700000,No,Yes,20,9791787511711,https://tiki.vn/dien-thoai-iphone-12-128gb-hang-chinh-hang-p71198347.html?src=ss-organic,5,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,16
Điện thoại Vsmart Aris (8GB/128GB) - Hàng Chính Hãng,5290000,Yes,No,99,3364412418882,https://tiki.vn/dien-thoai-vsmart-aris-8gb-128gb-hang-chinh-hang-p73113762.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/d6/cf/3c/c00776b660a8b18c391ac3c8402028d4.jpg,No,,No,No,29
AdĐiện thoại di động Forme D777 - Hàng Chính Hãng,399000,No,No,22,4367427331114,https://tiki.vn/dien-thoai-di-dong-forme-d777-hang-chinh-hang-p9727985.html?spid=9727987&src=ss-ads,0,https://salt.tikicdn.com/cache/280x280/ts/product/50/41/6b/6c87ec6482444b2be1b133a01489a0a9.jpg,No,,No,No,0
Máy Tính Bảng Samsung Galaxy Tab A7 (3GB/64GB) SM-T505 ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng,6150000,Yes,No,12,6554710717097,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a7-3gb-64gb-sm-t505-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-p74034401.html?src=ss-organic,5,https://salt.tikicdn.com/cache/280x280/ts/product/38/fb/93/3116b5c745be5e48f6492186d7f0d58a.jpg,No,,Yes,No,23
Điện Thoại OPPO RENO 3 Pro (8GB/256GB) - Hàng Chính Hãng,6490000,Yes,No,49,5386138868374,https://tiki.vn/dien-thoai-oppo-reno-3-pro-8gb-256gb-hang-chinh-hang-p54028954.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/de/16/96/febcf3659e8b50f5d03fe5d43890d040.jpg,Yes,,Yes,No,57
Điện thoại Xiaomi Redmi Note 10 (4GB/64GB) - Hàng chính hãng,4050000,Yes,No,5,7247376269139,https://tiki.vn/dien-thoai-xiaomi-redmi-note-10-4gb-64gb-hang-chinh-hang-p85137433.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/c5/71/75/4286efc95be4d8a66c0900d9ed4e34a7.JPG,No,,No,No,14
AdCombo Máy Đọc Sách Kindle Paperwhite Gen 10 (8GB - Màu Đen) và Bao da WELL BEGUN - Hàng nhập khẩu,3050000,No,No,52,1490602779029,https://tiki.vn/combo-may-doc-sach-kindle-paperwhite-gen-10-8gb-mau-den-va-bao-da-well-begun-hang-nhap-khau-p11217956.html?spid=27803658&src=ss-ads,0,https://salt.tikicdn.com/cache/280x280/ts/product/78/a7/79/093b88034ca10e83412399fadc1fb7f5.png,No,,Yes,No,29
Điện Thoại Samsung Galaxy A12 (4GB/128GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng,3550000,Yes,No,56,7872042397218,https://tiki.vn/dien-thoai-samsung-galaxy-a12-4gb-128gb-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-p74935377.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/b6/ac/58/a781e8737a2409136f50428085437da7.jpg,No,,Yes,No,17
